bin_low,bin_high,apps
0,10,5
10,20,223
20,30,215
30,40,189
40,50,185
50,60,135
60,70,134
70,80,116
80,90,81
90,100,67
100,110,49
110,120,44
120,130,36
130,140,21
140,150,25
150,160,14
160,170,14
170,180,10
180,190,3
190,200,3
200,210,3
210,220,3
220,230,1
230,240,0
240,250,1
250,260,0
260,270,1
270,280,0
280,290,0
290,300,0
300,310,0
310,320,0
320,330,0
330,340,1
